id,name,url,ESG,E,S,G
8437,Alt.Estate,https://icomarks.com/ico/Alt.Estate,0.002 ,0.000 ,0.000 ,0.002 
8467,Crystal Token,https://icomarks.com/ico/Crystal-Token,0.004 ,0.000 ,0.002 ,0.002 
8508,CNC,https://icomarks.com/ico/CNC,0.000 ,0.000 ,0.000 ,0.000 
8726,Morpheus.Network,https://icomarks.com/ico/Morpheus.Network,0.010 ,0.000 ,0.006 ,0.004 
8766,GlobalSpy,https://icomarks.com/ico/GlobalSpy,0.002 ,0.000 ,0.002 ,0.000 
8914,IQuiCoin,https://icomarks.com/ico/IQuiCoin,0.004 ,0.000 ,0.000 ,0.004 
9178,HODLER.TECH,https://icomarks.com/ico/HODLER.TECH,0.004 ,0.000 ,0.002 ,0.002 
9898,D-Central Capital,https://icomarks.com/ico/D-Central-Capital,0.012 ,0.000 ,0.004 ,0.008 
9934,IndiaStocksCoin,https://icomarks.com/ico/IndiaStocksCoin,0.004 ,0.000 ,0.002 ,0.002 
9999,Vendoreum,https://icomarks.com/ico/Vendoreum,0.002 ,0.000 ,0.000 ,0.002 
10004,TIMECOIN,https://icomarks.com/ico/TIMECOIN,0.002 ,0.000 ,0.002 ,0.000 
10407,The GlobeToken Project,https://icomarks.com/ico/The-GlobeToken-Project,0.004 ,0.000 ,0.002 ,0.002 
10553,All-Stocks Network,https://icomarks.com/ico/All-Stocks-Network,0.004 ,0.000 ,0.004 ,0.000 
10674,WHEN Token,https://icomarks.com/ico/WHEN-Token,0.002 ,0.000 ,0.002 ,0.000 
10700,Red Pill Coin,https://icomarks.com/ico/Red-Pill-Coin,0.000 ,0.000 ,0.000 ,0.000 
10740,Viva Network,https://icomarks.com/ico/Viva-Network,0.002 ,0.000 ,0.002 ,0.000 
11092,Ethereum Anonymizer,https://icomarks.com/ico/Ethereum-Anonymizer,0.000 ,0.000 ,0.000 ,0.000 
11613,Crypton VC,https://icomarks.com/ico/Crypton-VC,0.014 ,0.000 ,0.002 ,0.011 
12558,Bithemoth Exchange,https://icomarks.com/ico/Bithemoth-Exchange,0.006 ,0.000 ,0.004 ,0.002 
12805,StoneToken,https://icomarks.com/ico/StoneToken,0.004 ,0.000 ,0.000 ,0.004 
12809,Export.Online,https://icomarks.com/ico/Export.Online,0.000 ,0.000 ,0.000 ,0.000 
13641,ZNC Token,https://icomarks.com/ico/ZNC-Token,0.008 ,0.000 ,0.006 ,0.002 
13983,WRIO Internet OS,https://icomarks.com/ico/WRIO-Internet-OS,0.004 ,0.000 ,0.002 ,0.002 
14184,VirtualStaking,https://icomarks.com/ico/VirtualStaking,0.002 ,0.000 ,0.002 ,0.000 
14190,Abeona,https://icomarks.com/ico/Abeona,0.004 ,0.000 ,0.002 ,0.002 
14211,MarsTerminal,https://icomarks.com/ico/MarsTerminal,0.002 ,0.000 ,0.002 ,0.000 
14269,Shanghai Cooperation Coin,https://icomarks.com/ico/Shanghai-Cooperation-Coin,0.002 ,0.000 ,0.002 ,0.000 
14360,CiCoin,https://icomarks.com/ico/CiCoin,0.000 ,0.000 ,0.000 ,0.000 
14802,Midas Protocol,https://icomarks.com/ico/Midas-Protocol,0.004 ,0.000 ,0.002 ,0.002 
14913,nCrypt Club,https://icomarks.com/ico/nCrypt-Club,0.002 ,0.000 ,0.000 ,0.002 
14915,iCasting Talent Token,https://icomarks.com/ico/iCasting-Talent-Token,0.000 ,0.000 ,0.000 ,0.000 
15185,Ethernet Cash,https://icomarks.com/ico/Ethernet-Cash,0.008 ,0.000 ,0.002 ,0.006 
15487,Ethereum Pink,https://icomarks.com/ico/Ethereum-Pink,0.004 ,0.000 ,0.002 ,0.002 
15658,ONEPAY,https://icomarks.com/ico/ONEPAY,0.004 ,0.000 ,0.002 ,0.002 
15695,Breezecoin,https://icomarks.com/ico/Breezecoin,0.009 ,0.000 ,0.009 ,0.000 
15716,Hodler Mining,https://icomarks.com/ico/Hodler-Mining,0.002 ,0.002 ,0.000 ,0.000 
15729,Enumbra,https://icomarks.com/ico/Enumbra,0.004 ,0.000 ,0.002 ,0.002 
15859,Ternion,https://icomarks.com/ico/Ternion,0.008 ,0.000 ,0.002 ,0.006 
15970,Ubanx,https://icomarks.com/ico/Ubanx,0.002 ,0.000 ,0.000 ,0.002 
16000,HAWKOIN,https://icomarks.com/ico/HAWKOIN,0.002 ,0.000 ,0.002 ,0.000 
16156,Clear Shop Vision ltd,https://icomarks.com/ico/Clear-Shop-Vision-ltd,0.000 ,0.000 ,0.000 ,0.000 
16464,SunX,https://icomarks.com/ico/SunX,0.000 ,0.000 ,0.000 ,0.000 
16903,RAD Lending Inc.,https://icomarks.com/ico/RAD-Lending-Inc.,0.008 ,0.000 ,0.004 ,0.004 
17334,GastroAdvisor,https://icomarks.com/ico/GastroAdvisor,0.006 ,0.000 ,0.004 ,0.002 
17646,Upstake,https://icomarks.com/ico/Upstake,0.000 ,0.000 ,0.000 ,0.000 
17913,Briastorm,https://icomarks.com/ico/Briastorm,0.000 ,0.000 ,0.000 ,0.000 
18612,Neuroseed,https://icomarks.com/ico/Neuroseed,0.002 ,0.000 ,0.002 ,0.000 
18720,Dealjoy,https://icomarks.com/ico/Dealjoy,0.002 ,0.000 ,0.002 ,0.000 
18925,Orvium,https://icomarks.com/ico/Orvium,0.004 ,0.000 ,0.002 ,0.002 
19018,DrupeCoin,https://icomarks.com/ico/DrupeCoin,0.004 ,0.000 ,0.002 ,0.002 
19294,MODULE,https://icomarks.com/ico/MODULE,0.002 ,0.000 ,0.002 ,0.000 
19369,Museums Chain,https://icomarks.com/ico/Museums-Chain,0.006 ,0.000 ,0.004 ,0.002 
19419,CEREAL,https://icomarks.com/ico/CEREAL,0.002 ,0.000 ,0.002 ,0.000 
19498,ECX Token,https://icomarks.com/ico/ECX-Token,0.006 ,0.000 ,0.002 ,0.004 
19501,EJA COIN,https://icomarks.com/ico/EJA-COIN,0.004 ,0.000 ,0.004 ,0.000 
19560,ROAR,https://icomarks.com/ico/ROAR,0.002 ,0.000 ,0.002 ,0.000 
19597,LENDELTA,https://icomarks.com/ico/LENDELTA,0.004 ,0.000 ,0.002 ,0.002 
19634,PayPerBlock,https://icomarks.com/ico/PayPerBlock,0.004 ,0.000 ,0.000 ,0.004 
19731,BIT MONEY,https://icomarks.com/ico/BIT-MONEY,0.004 ,0.000 ,0.000 ,0.004 
