id;name;país;category; Ano ;ESG;E;S;G; Raised ; EPI ; CO2_E ; CO2_pc ; E_RNEW ; EnvironmentalTaxesgdp ; WUI ; PolStab ; VoiceandAccountability ; GovernmentEffectiveness ; RegulatoryQuality ; RuleofLaw ; ControlofCorruption ; Easeofdoingbusiness ; GDPUSD ; GDPpc ; Consumerprice ; Reservas ; Exchanderate ; Giniindex ; Bankcapital ; nonperformingloans ; Payingtax ; Unemployment ; IDH 
12405;BullToken;Norway;Finanças & Economia; 2.018 ;0,002 ;0,000 ;0,000 ;0,002 ; 1.585.200,00 ; 86,90 ; 39.174,90 ; 7,42 ; 59,52 ; 2,25 ; 0,11 ; 1,17 ; 1,69 ; 1,98 ; 1,81 ; 2,01 ; 2,23 ; 82,40 ; 404.573,74 ; 76.131,84 ; 1,87 ; 65.969,28 ; 8,27 ; 27,00 ; -   ; 1,00 ; 39,50 ; 4,16 ; 0,96 
12683;CryptoHunters;Romania;Entretenimento & Mídia; 2.018 ;0,008 ;0,000 ;0,000 ;0,008 ; 15.726.826,00 ; 83,24 ; 74.208,10 ; 3,79 ; 23,35 ; 1,96 ; 0,03 ; 0,06 ; 0,60 ;-0,06 ; 0,45 ; 0,46 ;-0,12 ; 72,90 ; 209.840,65 ; 10.727,97 ; 1,35 ; 9.504,37 ; 4,05 ; 36,00 ; 8,89 ; 6,41 ; 40,00 ; 4,93 ; 0,83 
22626;Auxledger;Estonia;Tecnologia & Inovação; 2.018 ;0,002 ;0,000 ;0,000 ;0,002 ; 2.140.000,00 ; 88,59 ; 16.773,50 ; 12,73 ; 27,52 ; 2,87 ; -   ; 0,65 ; 1,21 ; 1,11 ; 1,64 ; 1,28 ; 1,24 ; 80,70 ; 26.905,55 ; 20.437,77 ; 3,41 ; 341,43 ; 13,88 ; 30,40 ; 12,77 ; 0,70 ; 48,50 ; 5,81 ; 0,89 
2499;trade.io;Switzerland;Finanças & Economia; 2.018 ;0,008 ;0,000 ;0,004 ;0,004 ; 31.169.749,00 ; 86,93 ; 38.699,00 ; 4,58 ; 24,99 ; 1,41 ; 0,03 ; 1,26 ; 1,56 ; 2,05 ; 1,88 ; 1,92 ; 1,98 ; 76,40 ; 695.787,24 ; 82.254,38 ; 0,53 ; 769.367,66 ; 0,98 ; 32,70 ; 8,02 ; 0,64 ; 28,80 ; 4,80 ; 0,96 
794;Robot Vera;Russian Federation;Tecnologia & Inovação; 2.017 ;0,006 ;0,000 ;0,006 ;0,000 ; 271.285,00 ; 83,52 ; 1.594.550,30 ; 11,04 ; 3,25 ; -   ; 0,15 ;-0,64 ;-1,09 ;-0,15 ;-0,51 ;-0,83 ;-0,89 ; 75,30 ; 1.573.771,79 ; 10.720,33 ; 3,68 ; 432.742,20 ; 58,31 ; 37,20 ; 10,51 ; 10,00 ; 47,40 ; 5,21 ; 0,84 
13131;Cubomania;Ukraine;Entretenimento & Mídia; 2.018 ;0,002 ;0,000 ;0,002 ;0,000 ; 796.282,00 ; 79,69 ; 174.938,30 ; 3,90 ; 6,48 ; 0,16 ; 0,03 ;-1,87 ; 0,01 ;-0,49 ;-0,27 ;-0,74 ;-0,81 ; 65,40 ; 111.327,14 ; 2.638,33 ; -   ; 18.808,45 ; 26,62 ; 26,00 ; 11,90 ; 54,54 ; 52,30 ; 9,50 ; 0,78 
6380;Node;Latvia;Tecnologia & Inovação; 2.018 ;0,002 ;0,002 ;0,000 ;0,000 ; 1.150.000,00 ; 85,71 ; 7.116,70 ; 3,66 ; 42,60 ; 3,69 ; 0,07 ; 0,46 ; 0,80 ; 0,90 ; 1,15 ; 0,93 ; 0,53 ; 80,60 ; 30.425,21 ; 15.695,12 ; 2,92 ; -   ; 0,62 ; 35,60 ; 11,13 ; 5,51 ; 35,90 ; 8,72 ; 0,87 
12834;HeliosCoin;Cyprus;Energia & Sustentabilidade; 2.018 ;0,006 ;0,006 ;0,000 ;0,000 ; 260.680,00 ; 80,24 ; 7.361,20 ; 6,09 ; 10,94 ; 3,01 ; -   ; 0,54 ; 1,06 ; 0,92 ; 1,03 ; 0,88 ; 0,78 ; 72,30 ; 22.958,33 ; 26.697,01 ; 0,54 ; 330,46 ; 0,52 ; 31,40 ; 9,04 ; 31,39 ; 24,20 ; 11,05 ; 0,89 
13133;Treon;Estonia;Finanças & Economia; 2.018 ;0,004 ;0,004 ;0,000 ;0,000 ; 21.673.380,00 ; 88,59 ; 16.773,50 ; 12,73 ; 27,52 ; 2,87 ; -   ; 0,65 ; 1,21 ; 1,11 ; 1,64 ; 1,28 ; 1,24 ; 80,70 ; 26.905,55 ; 20.437,77 ; 3,41 ; 341,43 ; 13,88 ; 30,40 ; 12,77 ; 0,70 ; 48,50 ; 5,81 ; 0,89 
21431;Smart City Coin Test Net;Switzerland;Tecnologia & Inovação; 2.018 ;0,006 ;0,004 ;0,002 ;0,000 ; 57.783.750,00 ; 86,93 ; 38.699,00 ; 4,58 ; 24,99 ; 1,41 ; 0,03 ; 1,26 ; 1,56 ; 2,05 ; 1,88 ; 1,92 ; 1,98 ; 76,40 ; 695.787,24 ; 82.254,38 ; 0,53 ; 769.367,66 ; 0,98 ; 32,70 ; 8,02 ; 0,64 ; 28,80 ; 4,80 ; 0,96 
761;Pylon Network;Spain;Energia & Sustentabilidade; 2.017 ;0,010 ;0,004 ;0,006 ;0,000 ; 239.259,00 ; 88,91 ; 264.723,70 ; 5,68 ; 15,18 ; 1,84 ; 0,08 ; 0,28 ; 1,02 ; 1,03 ; 0,94 ; 1,05 ; 0,54 ; 77,60 ; 1.313.766,17 ; 28.185,32 ; 1,96 ; 58.121,07 ; 147,57 ; 34,70 ; 7,62 ; 4,46 ; 48,70 ; 17,22 ; 0,90 
20593;Securix;Netherlands;Governança & Legal; 2.018 ;0,006 ;0,002 ;0,000 ;0,004 ; 6.326.912,00 ; 82,03 ; 155.710,90 ; 9,09 ; 6,39 ; 3,37 ; 0,06 ; 0,92 ; 1,50 ; 1,85 ; 2,05 ; 1,79 ; 1,78 ; 75,60 ; 835.104,94 ; 48.675,22 ; 1,39 ; 13.899,91 ; 1,95 ; 28,50 ; 6,08 ; 2,31 ; 40,40 ; 4,84 ; 0,94 
3407;Phoneum;British Virgin Islands;Finanças & Economia; 2.018 ;0,008 ;0,000 ;0,006 ;0,002 ; 2.400.000,00 ; -   ; -   ; -   ; 1,15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
5321;BEAT;Germany;Entretenimento & Mídia; 2.018 ;0,010 ;0,000 ;0,006 ;0,004 ; 3.670.678,00 ; 84,26 ; 732.204,20 ; 8,86 ; 15,22 ; 1,62 ; 0,13 ; 0,59 ; 1,43 ; 1,65 ; 1,78 ; 1,60 ; 1,84 ; 79,60 ; 3.697.221,31 ; 44.652,59 ; 1,45 ; 64.443,26 ; 1,73 ; 31,90 ; 6,33 ; 1,50 ; 48,90 ; 3,75 ; 0,94 
19899;Celes Chain;Singapore;Tecnologia & Inovação; 2.018 ;0,004 ;0,000 ;0,002 ;0,002 ; 10.000.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
17330;FRELDO;Canada;Social & Comunidade; 2.018 ;0,006 ;0,000 ;0,004 ;0,002 ; 20.172.828,00 ; 85,06 ; 568.175,90 ; 15,55 ; 22,35 ; 1,33 ; 0,07 ; 1,10 ; 1,48 ; 1,85 ; 1,88 ; 1,79 ; 1,92 ; 79,50 ; 1.650.650,96 ; 45.129,43 ; 1,61 ; 86.677,67 ; 1,30 ; 33,30 ; 5,22 ; 0,45 ; 21,00 ; 6,34 ; 0,93 
1223;Pundi X;Indonesia;Finanças & Economia; 2.017 ;0,004 ;0,002 ;0,002 ;0,000 ; 35.000.000,00 ; 65,85 ; 515.395,70 ; 1,95 ; 24,88 ; -   ; 0,03 ;-0,50 ; 0,13 ; 0,01 ; 0,04 ;-0,33 ;-0,28 ; 64,70 ; 1.015.254,62 ; 3.839,79 ; 3,81 ; 130.196,38 ; 13.380,33 ; 38,80 ; 15,22 ; 2,56 ; 30,60 ; 3,78 ; 0,71 
1468;LaLa World;Singapore;Finanças & Economia; 2.017 ;0,004 ;0,000 ;0,004 ;0,000 ; 20.200.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
909;Emphy;Estonia;Finanças & Economia; 2.017 ;0,004 ;0,000 ;0,002 ;0,002 ; 445.000,00 ; 88,59 ; 16.773,50 ; 12,73 ; 27,52 ; 2,87 ; -   ; 0,65 ; 1,21 ; 1,11 ; 1,64 ; 1,28 ; 1,24 ; 80,70 ; 26.905,55 ; 20.437,77 ; 3,41 ; 341,43 ; 13,88 ; 30,40 ; 12,77 ; 0,70 ; 48,50 ; 5,81 ; 0,89 
14506;Kleros;France;Governança & Legal; 2.018 ;0,002 ;0,000 ;0,000 ;0,002 ; 2.501.733,00 ; 88,20 ; 317.721,20 ; 4,75 ; 14,12 ; 2,42 ; 0,05 ; 0,28 ; 1,15 ; 1,34 ; 1,15 ; 1,43 ; 1,26 ; 76,30 ; 2.598.768,09 ; 38.781,05 ; 1,03 ; 58.710,33 ; 5,82 ; 31,60 ; 6,59 ; 3,12 ; 64,10 ; 9,41 ; 0,90 
5182;Agrivita;Russian Federation;Energia & Sustentabilidade; 2.018 ;0,002 ;0,002 ;0,000 ;0,000 ; 299.624,00 ; 83,52 ; 1.594.550,30 ; 11,04 ; 3,25 ; -   ; 0,15 ;-0,64 ;-1,09 ;-0,15 ;-0,51 ;-0,83 ;-0,89 ; 75,30 ; 1.573.771,79 ; 10.720,33 ; 3,68 ; 432.742,20 ; 58,31 ; 37,20 ; 10,51 ; 10,00 ; 47,40 ; 5,21 ; 0,84 
16754;Pavocoin;United States;Finanças & Economia; 2.018 ;0,006 ;0,002 ;0,002 ;0,002 ; 7.570.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
4418;Asseta;Lithuania;Finanças & Economia; 2.018 ;0,002 ;0,000 ;0,002 ;0,000 ; 23.904.700,00 ; 85,49 ; 11.222,20 ; 3,97 ; 33,78 ; 2,06 ; 0,01 ; 0,78 ; 0,99 ; 0,96 ; 1,15 ; 0,99 ; 0,55 ; 79,20 ; 47.769,77 ; 16.885,41 ; 3,72 ; 4.461,70 ; 3,06 ; 37,30 ; 9,39 ; 3,18 ; 42,60 ; 7,07 ; 0,88 
11097;LikeCoin;Hong Kong SAR, China;Entretenimento & Mídia; 2.018 ;0,000 ;0,000 ;0,000 ;0,000 ; 5.323.610,00 ; 65,10 ; -   ; -   ; 0,20 ; -   ; 0,11 ; 0,83 ; 0,43 ; 1,90 ; 2,16 ; 1,71 ; 1,61 ; 84,80 ; 341.223,61 ; 46.160,43 ; 1,48 ; 431.370,00 ; 7,79 ; -   ; 9,83 ; 0,67 ; 22,90 ; 3,12 ; -   
425;TokenStars ACE;British Virgin Islands;Entretenimento & Mídia; 2.017 ;0,008 ;0,000 ;0,000 ;0,008 ; 5.000.000,00 ; -   ; -   ; -   ; 1,15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1860;Follow Coin;Netherlands;Social & Comunidade; 2.018 ;0,002 ;0,000 ;0,002 ;0,000 ; 263.508,00 ; 82,03 ; 155.710,90 ; 9,09 ; 6,39 ; 3,37 ; 0,06 ; 0,92 ; 1,50 ; 1,85 ; 2,05 ; 1,79 ; 1,78 ; 75,60 ; 835.104,94 ; 48.675,22 ; 1,39 ; 13.899,91 ; 1,95 ; 28,50 ; 6,08 ; 2,31 ; 40,40 ; 4,84 ; 0,94 
6247;Talenthon;United Kingdom;Social & Comunidade; 2.018 ;0,002 ;0,000 ;0,000 ;0,002 ; 8.158.090,00 ; 87,38 ; 366.844,10 ; 5,55 ; 8,81 ; 2,35 ; 0,09 ; 0,39 ; 1,36 ; 1,46 ; 1,71 ; 1,68 ; 1,85 ; 83,30 ; 2.688.678,99 ; 40.622,69 ; 2,58 ; 138.421,20 ; 0,78 ; 32,60 ; 6,78 ; 0,73 ; 30,90 ; 4,33 ; 0,93 
7901;EpigenCare;United States;Saúde & Bem-Estar; 2.018 ;0,002 ;0,002 ;0,000 ;0,000 ; 28.200,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
8400;AdSigma;India;Entretenimento & Mídia; 2.018 ;0,002 ;0,000 ;0,000 ;0,002 ; 735.917,00 ; 53,58 ; 2.308.804,40 ; 1,70 ; 32,57 ; -   ; 0,02 ;-0,76 ; 0,39 ; 0,07 ;-0,24 ;-0,01 ;-0,27 ; 55,90 ; 2.554.683,87 ; 1.957,97 ; 3,32 ; 409.072,00 ; 65,11 ; 35,90 ; 7,39 ; 9,98 ; 56,20 ; 7,73 ; 0,64 
