"Country" "Raised" "num" "ESG" "EPI" "CO2_E" "CO2_pc" "E_RNEW" "Env_Taxes_gdp" "WUI" "PolStab" "Voice_Account" "Gov_Effectiveness" "Regulatory_Quality" "Rule_Of_Law" "Control_Of_Corruption" "EODoing_business" "GDPUSD" "GDPpc" "Consumerprice" "Reservas" "Exchande_rate" "Gini_index" "Bank_capital" "non_performing_loans" "Paying_tax"
"Russian Federation" 0 13 0 37.5 1618271 11.23 3.72 0 0.08 -0.68 -1.07 -0.08 -0.47 -0.79 -0.91 78.2 1487474.25 10194.44 3.39 595774.1 72.35 36 9.97 8.76 46.2
"Samoa" 16456000 118 0.01 54.5 248.7 1.19 36.63 0 0 1.17 0.77 0.67 -0.08 0.95 0.67 62.1 0 4189.05 4.21 162.56 2.54 0 16.62 3.6 19.3
"Samoa" 0 3 0 54.5 278.7 1.32 34.21 0 0 1.16 0.78 0.5 -0.21 1.16 0.68 62.1 0 4308.3 0.99 0 2.61 0 16.25 3.95 19.3
"Saudi Arabia" 0 3 0 57.47 526770.3 14.7 0.03 0 0.17 -0.61 -1.66 0.3 -0.07 0.16 0.27 63.8 837882.9 23405.71 -2.09 499634.96 3.75 0 14.43 1.86 15.7
"Serbia" 150000 1 0.02 57.49 46192.4 6.62 21.05 0 0 0.01 -0.02 0.11 0.11 -0.15 -0.37 73.8 0 7252.4 0 0 100.14 35 20.3 21.58 36.7
"Serbia" 360000 2 0 57.49 46030.1 6.63 21.53 0 0 -0.07 -0.05 0.02 0.11 -0.12 -0.43 73.9 0 7417.21 0 0 105.25 34.5 20.3 21.58 36.6
"Seychelles" 22726145 1 0 64.92 570.7 5.95 1.24 4.78 0 0.79 0.19 0.53 0.02 0.19 0.89 60.5 0 15961.24 2.86 545.2 13.48 0 11.01 8.12 30.1
"Seychelles" 94095834 7 0.04 66.02 602.3 6.22 1.23 4.24 0 0.69 0.18 0.67 0.03 0.31 0.89 61.5 0 16409.47 3.7 549.52 13.5 32.1 10.11 4.43 30.1
"Seychelles" 16748054 1 0.01 66.02 595.3 6.1 1.21 4.38 0 0.68 0.31 0.66 0.04 0.28 1.21 61.5 0 16851.12 1.81 0 13.62 0 9.96 3.49 30.1
"Seychelles" 0 18 0 58.2 598.7 6.08 1.34 4.05 0 0.73 0.49 0.73 0.04 0.28 1.42 61.7 0 12020.02 0.34 0 17.13 0 7.98 3.27 30.1
"Sierra Leone" 0 1 0 42.54 1043.7 0.13 75.86 1.24 0 -0.09 -0.19 -1.16 -0.9 -0.78 -0.49 47.1 0 519.65 16.03 501.21 7966.61 35.7 12.32 31.73 30.7
"Sierra Leone" 200000 3 0 25.7 1048 0.13 75.07 1.6 0.17 -0.3 -0.1 -1.03 -0.89 -0.77 -0.37 47.5 0 493.43 7.99 0 9807.75 0 12.32 31.73 30.7
"Singapore" 693110408 1 0.08 87.04 47324.2 8.43 0.7 0.27 0.12 1.62 -0.17 2.21 2.11 1.82 2.13 85.4 343357.49 61164.9 0.57 371487.4 1.38 0 9.18 1.4 19.1
"Singapore" 2183663906 3 0.45 64.23 45212.1 8.02 0.78 0.25 0.07 1.49 -0.08 2.22 2.13 1.84 2.17 85.6 376825.33 66836.54 0.45 389214.5 1.35 0 9.03 1.31 20.3
"Singapore" 277954760 5 0.06 64.23 45163.2 7.92 0.89 0 0.05 1.5 -0.21 2.21 2.16 1.87 2.16 85.8 377079.56 66070.47 0.57 372724 1.36 0 9.32 1.31 20.6
"Singapore" 3423109 2 0 58.1 43705 7.69 0.92 0 0.05 1.46 -0.2 2.32 2.21 1.87 2.15 86.2 348877.13 61274.01 -0.19 475204.9 1.38 0 9.32 1.31 21
"Slovak Republic" 0 1 0 85.42 33576.5 6.17 12.43 1.98 0.03 0.91 0.91 0.7 0.82 0.54 0.13 75 95651.67 17585.2 1.3 3578.9 26.72 23.2 10.77 3.7 50.1
"Slovak Republic" 37378158 10 0 70.6 33005.1 6.06 12.43 1.94 0.1 0.74 0.84 0.61 0.81 0.5 0.26 75.2 106109.17 19486.39 2.5 5198.95 25.51 25 10.58 3.08 50.1
"Slovak Republic" 0 7 0 70.6 31032.5 5.69 17.64 2.05 0.13 0.67 0.86 0.58 1.01 0.52 0.21 75.4 105667.21 19381.59 2.68 7097.37 26.91 23.2 10.44 2.87 49.7
"Slovak Republic" 0 2 0 60 29035.8 5.32 17.64 1.99 0.1 0.63 0.88 0.54 0.79 0.67 0.44 75.6 106694.75 19551.62 1.91 9272.68 26.43 0 10.24 2.53 49.7
"Slovenia" 52904979 1 0.01 88.98 14123.7 6.83 19.71 4.43 0.08 0.87 1.01 1.17 0.58 1.02 0.81 75.4 48769.07 23514.03 1.43 880.53 212.57 24.2 0 3.2 31
"Slovenia" 86809514 1 0.02 67.57 14072.9 6.79 20.63 4.11 0.04 0.9 0.96 1.12 0.65 1.05 0.87 76.4 54452.46 26123.75 1.74 928.71 202.93 24.6 10.69 6.01 31
"Slovenia" 3200000 6 0 67.57 13665 6.54 20.86 3.99 0.07 0.81 0.98 1.08 1.01 1.11 0.92 76.4 54559.5 26016.08 1.63 1006.44 214.03 24.4 10.61 3.36 31
"Slovenia" 0 3 0.01 72 12477.3 5.93 22.4 3.65 0.19 0.71 0.94 1.16 0.92 1.06 0.8 76.5 53410.26 25545.24 -0.05 1302.82 210.27 24 9.52 3.02 31
"South Africa" 16275271 1 0 70.52 435214.5 7.68 8.03 2.78 0.04 -0.28 0.63 0.1 0.15 -0.14 -0.1 65.4 381411.63 6734.48 5.18 50722 13.31 0 8.8 2.84 28.8
"South Africa" 71713603 2 0.04 44.73 439644.6 7.67 8.07 2.82 0.01 -0.23 0.63 0.13 -0.03 -0.2 -0.11 65.3 406579.26 7048.51 4.51 51641 13.25 0 8.42 3.73 28.9
"South Africa" 0 23 0 44.73 446626 7.69 8.84 2.94 0 -0.27 0.65 0.16 0.02 -0.12 0.02 66.7 389223.5 6688.77 4.12 55058 14.45 0 8.51 3.89 29.1
"South Africa" 0 12 0 43.1 393241.6 6.69 9.76 2.92 0.07 -0.24 0.7 0.1 0.04 -0.18 -0.01 67 340604.92 5741.64 3.21 55013 16.48 0 7.89 5.18 29.2
"Spain" 33243123 1 0.01 88.91 264723.7 5.68 15.18 1.84 0.08 0.28 1.02 1.03 0.94 1.05 0.54 77.6 1313766.17 28185.32 1.96 58121.07 147.57 34.7 7.62 4.46 48.7
"Spain" 87291152 7 0.05 78.39 258373.2 5.52 16.9 1.83 0.02 0.29 1.02 1 0.95 1.01 0.64 77.6 1422414.29 30379.72 1.67 59498.93 140.9 34.7 7.55 3.69 46.9
"Spain" 2825350 1 0 78.39 241886.5 5.13 16.68 0 0.01 0.31 1.04 1 1.05 1.02 0.69 77.7 1394652.46 29581.52 0.7 61428.13 148.6 34.3 7.59 3.15 47
"Spain" 0 3 0 74.3 202705.8 4.28 19.35 0 0.11 0.44 1.01 0.89 0.77 0.89 0.74 77.9 1277208.4 26959.68 -0.32 64677.75 145.99 34.9 6.5 2.85 47
"Sri Lanka" 0 12 0 60.61 21690.3 1 47.86 0 0.09 -0.15 -0.02 -0.23 -0.2 0.02 -0.33 60 94753.72 4360.58 0 6919.22 162.6 0 8.74 3.42 55.2
"Saint Kitts and Nevis" 10200000 6 0 0 243 5.09 1.28 0.71 0 0.65 1 0.56 0.55 0.53 0.5 54.4 0 22160.6 0.7 365.1 2.7 0 0 0 49.7
"Saint Kitts and Nevis" 36203581 4 0 0 245.2 5.13 1.31 0.71 0 0.7 0.85 0.55 0.51 0.55 0.45 54.6 0 22548.15 -1.04 363.22 2.7 0 0 0 49.7
"Saint Kitts and Nevis" 4740000 1 0 0 247.5 5.19 1.29 0.83 0 0.72 0.82 0.54 0.5 0.47 0.38 54.6 0 23219.41 -0.33 0 2.7 0 0 0 49.7
"Saint Lucia" 0 2 0 0 527.9 2.97 10.22 1.02 0 1.01 0.84 0.28 0.33 0.66 0.59 63.6 0 11563.87 1.94 285.82 2.7 0 0 0 34.7
"Saint Vincent and the Grenadines" 1642250 2 0 0 252.3 2.4 4.93 0 0 0.84 0.85 0.28 0.3 0.47 0.78 57 0 8399.69 2.32 169.56 2.7 0 7.47 9.59 39.3
"Swaziland" 46484153 10 0 40.32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.82 440.69 13.25 0 0 0 0
"Sweden" 10000000 4 0 90.43 38168.2 3.79 51.82 2.14 0.05 0.98 1.57 1.71 1.8 1.85 2.14 82.2 542086.28 53791.51 1.8 57152.69 8.55 28.8 6.13 1.12 49.1
"Sweden" 37263371 9 0.01 80.51 35915.9 3.53 51.56 2.09 0.05 0.94 1.57 1.7 1.83 1.82 2.15 82.2 556555.67 54589.06 1.95 55582.15 8.69 30 6.18 0.49 49.1
"Sweden" 0 2 0 80.51 34964.6 3.4 52.87 2.09 0.07 1.04 1.56 1.7 1.8 1.82 2.13 82 534415.35 51939.43 1.79 49528.78 9.46 29.3 6.33 0.58 49.1
"Switzerland" 960162635 1 0.06 86.93 38699 4.58 24.99 1.41 0.03 1.26 1.56 2.05 1.88 1.92 1.98 76.4 695787.24 82254.38 0.53 769367.66 0.98 32.7 8.02 0.64 28.8
"Switzerland" 1072120171 1 0.25 87.42 37481.3 4.4 24.2 1.42 0.06 1.33 1.58 2.03 1.8 1.92 2 76.6 726718.12 85216.64 0.93 745802.97 0.98 33.1 8.3 0.66 28.8
"Switzerland" 62112843 1 0.02 87.42 37376.3 4.36 24.76 1.42 0.02 1.32 1.5 1.94 1.66 1.9 1.98 76.6 722071.3 84121.93 0.36 805771.51 0.99 0 8.59 0.65 28.8
"Switzerland" 230000 1 0.03 81.5 34916.1 4.04 26.37 1.41 0.11 1.19 1.54 2.01 1.59 1.82 2.08 76.6 740103.59 85656.32 -0.73 1022414.73 0.94 0 8.13 0.75 28.8
"Syria" 0 6 0 0 28303.1 1.46 0.88 0 0 -2.74 -1.97 -1.67 -1.74 -2.05 -1.63 41.4 0 1111.87 0 0 436.5 0 0 0 42.7
"Taiwan Province of China" 13200000 2 0 74.88 0 0 0 0 0 0 0 0 0 0 0 80.3 591130.91 0 0.62 0 30.43 0 0 0 34.5
"Taiwan Province of China" 1578002 1 0 72.84 0 0 0 0 0 0 0 0 0 0 0 80.7 609951.11 0 1.35 0 30.14 0 0 0 34.3
"Taiwan Province of China" 1031649999 3 0 72.84 0 0 0 0 0 0 0 0 0 0 0 81 611865.07 0 0.56 0 30.91 0 0 0 34.6
"Tanzania" 4274582 3 0.01 50.83 12018.9 0.21 85.29 0 0.04 -0.57 -0.39 -0.75 -0.63 -0.56 -0.45 54 0 1011.6 0 0 2272.87 40.5 11.85 9.93 44.1
"Tanzania" 6750000 2 0 50.83 14960.8 0.25 83.54 0 0.03 -0.37 -0.52 -0.83 -0.65 -0.55 -0.37 54.3 0 1050.93 0 0 2305.81 0 11.7 9.61 44
"Thailand" 0 1 0 69.54 267137.1 3.77 22.25 2.52 0.04 -0.75 -1.05 0.3 0.02 0.03 -0.42 72.8 456743.43 6436.79 0.67 202562.3 33.92 36.5 10.73 3.07 29.6
"Thailand" 99223269 1 0.04 49.88 264483.6 3.72 23.7 2.59 0 -0.8 -1.02 0.3 -0.03 0.02 -0.44 78.5 506748.29 7124.56 1.07 205641.1 32.3 36.4 10.78 3.08 28.7
"Thailand" 0 7 0.02 49.88 274466.7 3.85 23.95 2.51 0.02 -0.48 -0.85 0.3 -0.01 0.11 -0.45 79.5 544114.21 7628.58 0.71 224326.7 31.05 34.9 11.3 3.13 29.5
"Thailand" 0 4 0 45.4 265478.9 3.71 20.83 2.47 0.04 -0.58 -0.81 0.23 0.08 0.12 -0.46 80.1 500399.5 7001.79 -0.85 258134.4 31.29 35 11.14 3.23 29.5
"Timor-Leste" 0 1 0 49.54 617.6 0.48 11.67 0 0 0.23 0.36 -0.88 -0.78 -1.11 -0.38 39.7 0 1584.26 0 0 0 0 0 0 11.2
"Tunisia" 0 28 0 62.35 31023.1 2.6 11.91 1.51 0.13 -0.87 0.18 0.03 -0.48 0.07 -0.09 65.3 42988.64 3577.17 7.31 5238.75 2.64 0 7.8 14.5 64.1
"Tunisia" 0 1 0 62.35 31045 2.58 12.19 1.37 0.08 -0.87 0.26 0 -0.37 0.11 -0.11 67.2 42007.03 3477.84 6.7 7330.16 2.93 0 7.8 14.5 60.2
"Turkey" 812765 1 0 67.68 418098.2 5.09 11.4 3.09 0.11 -1.79 -0.71 0.05 0.06 -0.3 -0.18 69.4 856222.31 10464.01 11.16 107730 3.65 41.4 10.72 2.84 40.5
"Turkey" 8041881 3 0.02 52.96 414111.9 5 11.8 2.3 0.07 -1.32 -0.85 -0.03 0.03 -0.37 -0.33 70.9 789676.93 9400.84 16.38 93027 4.84 41.9 10.79 3.69 40.4
"Turkey" 10890936 16 0.02 52.96 398772.9 4.78 14.4 2.09 0.1 -1.37 -0.83 0.02 0 -0.33 -0.3 75.3 757754.49 9103.01 15.2 105696 5.68 41.9 11.75 5.02 40.4
"Turkey" 56000 22 0 42.6 407406.2 4.84 13.7 2.63 0.04 -1.14 -0.86 -0.13 -0.01 -0.41 -0.34 76.8 715748.22 8561.06 12.31 93589 7.02 41.9 10.55 3.89 42.3
"Ukraine" 21988080 4 0 79.69 174938.3 3.9 6.48 0.16 0.03 -1.87 0.01 -0.49 -0.27 -0.74 -0.81 65.4 111327.14 2638.33 0 18808.45 26.62 26 11.9 54.54 52.3
"Ukraine" 92819855 8 0.05 52.87 185623.8 4.16 6.92 0.14 0.02 -1.87 -0.04 -0.44 -0.24 -0.74 -0.9 68.1 130225.71 3096.56 0 20820.43 27.19 26.1 10.77 52.85 37.8
"Ukraine" 3230373 3 0.01 52.87 174599.9 3.93 7.44 0.15 0.09 -1.42 0.02 -0.31 -0.2 -0.72 -0.78 69.1 154095.36 3661.46 0 25302.16 25.81 26.6 13.51 48.36 41.7
"Ukraine" 0 5 0 49.5 165663.6 3.75 8.72 0 0.09 -1.14 0.09 -0.38 -0.25 -0.69 -0.81 70.2 155263.05 3751.74 0 29132.89 26.96 25.6 11.66 41 45.2
"United Arab Emirates" 17377200 34 0 69.35 191935 21.17 0.19 0 0.08 0.62 -1.1 1.41 1.01 0.79 1.13 77.4 385488.68 43063.97 1.96 0 3.67 0 0 5.3 15.9
"United Arab Emirates" 164176837 57 0.08 58.9 174220.3 19.06 0.32 0 0.14 0.7 -1.13 1.42 0.93 0.8 1.15 79.3 421905.45 46722.27 3.06 0 3.67 26 0 5.61 15.9
"United Arab Emirates" 220434051 1 0.02 58.9 185645.7 20.15 0.67 0 0.02 0.69 -1.14 1.37 0.98 0.83 1.1 81.6 420826.53 45376.17 -1.94 0 3.67 0 0 6.46 15.9
"United Arab Emirates" 5240017 1 0 55.6 188088.7 20.25 0.92 0 0.08 0.62 -1.18 1.32 1.09 0.91 1.11 80.9 100297.31 37629.17 -2.07 0 3.67 0 0 8.15 15.9
"United Kingdom" 333580165 1 0.05 87.38 366844.1 5.55 8.81 2.35 0.09 0.39 1.36 1.46 1.71 1.68 1.85 83.3 2688678.99 40622.69 2.58 138421.2 0.78 32.6 6.78 0.73 30.9
"United Kingdom" 1286052656 2 0.36 79.89 360555.9 5.43 10.09 2.33 0.21 0.08 1.37 1.39 1.78 1.63 1.84 83.2 2882254.1 43306.31 2.28 160448.32 0.75 33.7 6.82 1.07 30.7
"United Kingdom" 293671234 1 0.07 79.89 345934.3 5.18 11.39 2.35 0.11 0.54 1.26 1.48 1.62 1.6 1.78 83.6 2857493.87 42747.08 1.74 158946.93 0.78 32.8 6.79 1.08 30
"United Kingdom" 7950000 1 0.01 81.3 308650.3 4.6 13.5 2.07 0.08 0.49 1.25 1.37 1.49 1.49 1.69 83.5 2710349.15 40318.42 1 161769.07 0.78 32.6 6.87 1.22 30.6
"United States" 1920407654 1 0.16 84.72 4819365.1 14.82 9.92 0.74 0.04 0.29 1.01 1.55 1.63 1.64 1.38 83.6 19477400 59907.75 2.13 125206.56 1 41.2 11.65 1.13 44
"United States" 2418245599 1 0.55 71.19 4975300.4 15.22 10.12 0.74 0.09 0.42 0.98 1.57 1.62 1.51 1.32 83.6 20533100 62823.31 2.44 127977.85 1 41.4 11.69 0.91 43.8
"United States" 314451574 1 0.06 71.19 4817710.4 14.67 10.42 0.72 0.22 0.13 0.9 1.48 1.34 1.45 1.21 83.6 21381000 65120.39 1.81 132082.92 1 41.5 11.78 0.86 43.8
"United States" 5210000 1 0.04 52.4 4320532.5 13.03 11.16 0.66 0.07 0.03 0.87 1.31 1.25 1.36 1.07 84 21060500 63528.63 1.25 149269.38 1 39.7 11.02 1.07 36.6
"Venezuela" 735094880 1 0.01 63.89 130158 4.36 14.57 0 0 -1.35 -1.44 -1.64 -2.37 -2.26 -1.49 30 0 0 0 0 77629.49 0 0 0 70.1
"Venezuela" 0 1 0 63.89 107502.3 3.71 15.77 0 0 -1.54 -1.43 -1.69 -2.36 -2.25 -1.51 32.1 0 0 0 0 0 0 0 0 70.1
"Venezuela" 0 1 0 46.4 72509 2.55 23.33 0 0.04 -1.55 -1.52 -1.87 -2.25 -2.33 -1.56 30.2 0 0 0 0 0 0 0 0 73.3
"Vietnam" 11000297 1 0 46.96 286139.3 3.01 24.59 0.67 0 0.06 -1.48 0 -0.36 -0.01 -0.49 67 239088.67 3267.23 3.54 55452.62 23014.95 35.7 7.68 1.8 38.1
"Vietnam" 5650000 1 0 46.96 341716.8 3.57 20.65 0.82 0 0.03 -1.41 0.04 -0.36 -0.03 -0.52 68.6 258577.35 3491.09 2.79 0 23226.26 0 7.83 1.5 37.8
"Vietnam" 0 1 0 20.1 355323.1 3.68 19.11 0.75 0.07 -0.08 -1.38 0.23 -0.22 -0.16 -0.35 69.8 269556.18 3586.35 3.21 0 23235.7 36.8 7.83 1.5 37.6
"Zimbabwe" 8142181 1 0.01 43.41 11069.9 0.74 80.43 0 0.04 -0.72 -1.14 -1.26 -1.51 -1.28 -1.23 48.6 0 2269.18 0 0 72.51 0 0 0 31.6
"Zimbabwe" 16400000 3 0 43.41 10185.3 0.66 81.52 0 0.03 -0.96 -1.16 -1.27 -1.47 -1.29 -1.27 50.5 0 1421.87 0 0 11.02 50.3 0 0 31.6
"Zimbabwe" 5360000 3 0 37 8312.5 0.53 84.36 0 0.13 -1.07 -1.11 -1.3 -1.42 -1.31 -1.29 54.5 0 1372.7 0 0 51.3 0 0 0 31.6
