"Country" "Raised" "num" "ESG" "EPI" "CO2_E" "CO2_pc" "E_RNEW" "Env_Taxes_gdp" "WUI" "PolStab" "Voice_Account" "Gov_Effectiveness" "Regulatory_Quality" "Rule_Of_Law" "Control_Of_Corruption" "EODoing_business" "GDPUSD" "GDPpc" "Consumerprice" "Reservas" "Exchande_rate" "Gini_index" "Bank_capital" "non_performing_loans" "Paying_tax"
"British Virgin Islands" 819780618 5 0.06 0 0 0 1.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"British Virgin Islands" 17303210 4 0.02 0 0 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"British Virgin Islands" 0 1 0 0 0 0 1.42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bulgaria" 28562689 2 0 83.4 43885.1 6.2 17.11 2.8 0.05 0.33 0 0 0 0 0 71.6 59300.42 8386.59 2.07 28446.86 1.73 40.4 11.39 10.43 27
"Bulgaria" 11865204 16 0.02 67.85 40898.2 5.82 19.59 2.62 0.23 0.46 0 0 0 0 0 71.7 66243.06 9451.85 2.82 28727.23 1.66 41.3 10.82 7.8 27.1
"Bulgaria" 722609 1 0 67.85 39159.9 5.61 19.32 2.99 0.33 0.58 0 0 0 0 0 71.8 68926.23 9878.77 3.1 27888.07 1.75 40.3 11.59 6.62 27.7
"Bulgaria" 0 2 0 57 34138.1 4.92 21.08 3.03 0.13 0.42 0 0 0 0 0 72 70311.37 10153.48 1.67 37729.73 1.72 40.5 11.88 5.8 28.3
"Cambodia" 1150000 1 0 51.24 12660.5 0.8 56.32 0 0 0.09 -1.15 -0.65 -0.5 -1.06 -1.3 53.2 0 1400.9 2.91 12200.55 4050.6 0 13.97 2.07 21
"Cambodia" 19436 2 0.01 43.23 13555.7 0.85 58.15 0 0 0.1 -1.24 -0.56 -0.5 -1.12 -1.34 53.4 0 1533.32 2.46 14629.06 4051.18 0 13.93 1.99 21.7
"Cameroon" 0 1 0 40.81 9557.3 0.37 78.79 0.6 0.19 -1.56 -1.21 -0.83 -0.83 -1.13 -1.19 46 0 1538.69 2.45 3662.72 585.96 0 8.89 12.81 57.7
"Cameroon" 0 7 0 33.6 9928.4 0.37 78.94 0.62 0.06 -1.5 -1.21 -0.9 -0.82 -1.15 -1.11 46.1 0 1539.13 2.19 3951.21 575.59 0 9.23 13.29 57.7
"Canada" 321301110 1 0.01 85.06 568175.9 15.55 22.35 1.33 0.07 1.1 1.48 1.85 1.88 1.79 1.92 79.5 1650650.96 45129.43 1.61 86677.67 1.3 33.3 5.22 0.45 21
"Canada" 304959005 118 0.04 72.18 579573.9 15.64 21.92 1.24 0.18 0.98 1.49 1.71 1.7 1.75 1.82 79.3 1724515.31 46547.8 2.27 83925.57 1.3 32.5 5.2 0.51 20.9
